Address,City,Postal Code,Fine Amount
377 Rector Place,New York,10280,144838.38900000002
30 East 72nd Street,New York,10021,49614.371
1040 Fifth Avenue,New York,10028,75716.432
930 Fifth Avenue,New York,10021,224821.984
1060 Fifth Avenue,New York,10128,7785.399999999988
215 West 91st Street,New York,10024,61929.30600000001
300 West 23rd Street,New York,10011,14900.799999999976
16 Sutton Place,New York,10022,117625.2
400 East 51st Street,New York,10022,454347.10000000003
515 Park Avenue,New York,10022,45519.8
25 Sutton Place,New York,10022,45191.5
820 Park Avenue,New York,10021,18103.4
21 Astor Place,New York,10003,18398.199999999993
255 West 108th Street,New York,10025,129253.18400000001
6-16 West 77th Street,New York,10024,183937.378
450 East 52nd Street,New York,10022,41914.66399999999
245 West 107th Street,New York,10025,133825.80000000002
230 Central Park South,New York,10019,25942.13200000001
125 East 63rd Street,New York,10065,56138.62999999999
136 East 56th Street,New York,10028,11022.370999999996
444 Central Park West,New York,10025,186018.80000000002
941 Park Avenue,New York,10028,96037.331
815 Park Avenue,New York,10021,17400.703999999998
720 Greenwich Street,New York,10014,124147.51599999999
83-85 Woodhaven Boulevard,Queens,11421,39215.76999999997
812 Fifth Avenue,New York,10065,33695.77399999998
1060 Park Avenue,New York,10128,52969.596999999994
1040 Park Avenue,New York,10028,103531.68300000002
220 East 57th Street,New York,10022,10552.5
944 Fifth Avenue,New York,10021,34424.6
45 West 54th Street,New York,10019,65482.85200000001
799 Park Avenue,New York,10021,99202.746
101 Central Park West,New York,10023,319965.2
30 Beekman Place,New York,10022,50083.773
363 East 76th Street,New York,10075,128952.21999999999
1111 Park Avenue,New York,10128,179853.72799999997
911 Park Avenue,New York,10075,56059.23499999999
33 East 70th Street,New York,10021,358360.756
262 Central Park West,New York,10024,227290.80000000002
1185 Park Avenue,New York,10128,507310.6
40 Fifth Avenue,New York,10011,61194.785
179 East 70th Street,New York,10021,82641.15
123 East 74th Street,New York,10021,21862.903999999995
980 Fifth Avenue,New York,10075,25747.02800000004
10 Gracie Square,New York,10028,174622.1
15 East 91st Street,New York,10128,101071.242
1 Lexington Avenue,New York,10010,44689
1155 Park Avenue,New York,10128,162903.80000000002
101 West 24th Street,New York,10011,208850.52400000003
151 West 17th St,New York,10011,50960.869999999995
444 West 19th Street,New York,10011,36662.668000000005
66 Leonard Street,New York,10013,121361.99099999998
240 Centre Street,New York,10013,115792.54899999998
1088 Park Avenue,New York,10128,97228.59099999999
78-43 147th Street,Queens,11367,37530.04999999999
144-03 79th Avenue,Queens,11367,15186.085999999994
250 Mercer Street,New York,10012,111313.79999999997
14 Prince Street,New York,10012,23208.799999999992
15 West 81st Street,New York,10024,274310.86399999994
1165 Park Avenue,New York,10128,160134.087
115 Fourth Avenue,New York,10003,19050.043000000012
10801 Seaview Avenue,Brooklyn,11236,212999.56600000002
245 East 54th Street,New York,10022,6817.25
54-17 31st Avenue,Queens,11377,466854.325
200 Eleventh Avenue,New York,10011,3303.3010000000077
440 East 62nd Street,New York,10065,42954.101999999984
11-02 49th Avenue,Queens,11101,127753.52299999999
1136 Fifth Avenue,New York,10128,109489.92599999999
45 Sutton Place South,New York,10022,406445.98600000003
1030 Fifth Avenue,New York,10028,62306.65
1010 Fifth Avenue,New York,10028,204443.80000000002
133 East 64th Street,New York,10065,18613.136
145 West 86th Street,New York,10024,43931.89999999999
100 Riverside Drive,New York,10024,140454.512
480 Park Avenue,New York,10022,231741.878
47 East 88th Street,New York,10128,142631.47599999997
95 Lexington Avenue,New York,10016,47293.625
173-175 Riverside Drive,New York,10024,148096.80000000005
375 Riverside Drive,New York,10025,116729.075
201 East 25th Street,New York,10010,13513.899999999987
50 East 72nd Street,New York,10021,48800.321
863 Park Avenue,New York,10075,3893.3699999999935
333 East 43rd Street,New York,10017,6834
2 River Terrace,New York,10282,242325.53300000005
205-215 East 22nd Street,New York,10010,99300.767
128 Central Park South,New York,10019,85302.859
1019 Van Siclen Avenue,Brooklyn,11207,637980.7
555 West 59th Street,New York,10019,45215.61999999998
229 West 78th Street,New York,10024,147281.34299999996
205 West 89th Street,New York,10024,84617.65
142-05 Roosevelt Avenue,Queens,11354,25933.421999999988
140 East 72nd Street,New York,10021,94878.83399999999
225 East 34th Street,New York,10016,105365.67400000001
268-19 82nd Avenue,Queens,11040,43743.63000000002
33 West 56th Street,New York,10019,6742.142999999994
37 Riverside Drive,New York,10023,65682.512
"60 Division Avenue/50-54,64-70 Division Avenue",Brooklyn,11211,116304.96500000003
233 East 70th Street,New York,10021,6843.916000000009
