Address 1,City,Postal Code,Largest Property Use Type - Gross Floor Area (ft²),Natural Gas Use (therms),Electricity Use - Grid Purchase (kWh),Green Power - Offsite (kWh),Net Emissions (Metric Tons CO2e),Avoided Emissions - Onsite and Offsite Green Power (Metric Tons CO2e),Water Use (All Water Sources) (kgal),Latitude,Longitude
485 West 187th Street,New York,10033,51000,42484.38365,196513.9,0,275.1,0,4376.1,40.851764,-73.92788
736 West 181st Street,New York,10033,50000,51417.39186,431602.8,0,381.8,0,4511.9,40.850682,-73.937528
55 Overlook Terrace,New York,10033,50000,Not Available,615769.5,0,155,0,2450.1,40.854252,-73.936292
110 Seaman Avenue,New York,10034,95000,48047.92252,322694.4,0,336.4,0,4867.6,40.868369,-73.924322
831 Gerard Avenue,Bronx,10451,100000,67256.92239,631504.7,0,516.2,0,8587.3,40.826607,-73.925483
4915 Broadway,New York,10034,99850,66767.99338,718320.7,0,535.5,0,5717.4,40.867413,-73.922024
195 Bennett Avenue,NEW YORK,10040,50000,34476.68252,204679.4,0,234.7,0,Not Available,40.85659,-73.933778
22-11 Brookhaven Avenue,Queens,11691,64600,46935.58042,292863.7,0,323,0,6687.7,40.600111,-73.756428
111-09 76th Road,Queens,11375,60000,32604.99919,216208.3,0,227.6,0,2755.2,40.71605,-73.836383
1261 Central Avenue,Queens,11691,152000,139296.7361,736832.9,0,925.4,0,Not Available,40.608142,-73.748353
109-10 Queens Boulevard,Queens,11385,92050,49777.9977,474800.5,0,383.9,0,7501,40.72038,-73.841585
13-34 Caffrey Avenue,Queens,11691,86500,45144.86888,405795.2,0,341.9,0,9424,40.600358,-73.748605
845 Gerard Avenue,Bronx,10451,74000,56707.60325,294659.3,0,375.4,0,7518.7,40.826939,-73.925287
4750 Bedford Avenue,Brooklyn,11235,106440,77103.00431,462685.9,0,526,0,6946.9,40.586077,-73.944023
89-16 175th Street,Queens,11432,66922,43519.00095,373908.6,0,325.3,0,14056.6,40.710265,-73.786963
252 East 2nd Street,New York,10009,51802,17451.90861,291037.7,0,166,0,1957.4,40.721267,-73.981634
200 East 30th Street,New York,10016,67000,54048.87396,649229.6,0,450.5,0,4432.5,40.743107,-73.979744
225 East 6th Street,New York,10003,96500,29409.90537,576475,0,301.3,0,2752.8,40.727683,-73.989191
435 Fort Washington Avenue,New York,10033,44500,1277.483073,205464.8,0,360.6,0,2592.8,40.849645,-73.938805
231 Sherman Avenue,New York,10034,47500,52130.85613,417191.1,0,381.9,0,3698.4,40.865932,-73.91961
711 West 171st Street,New York,10032,45000,31736.65545,161778.8,0,209.3,0,3831.8,40.844179,-73.941427
565 West 174th Street,New York,10033,43500,42354.62736,322255,0,306.1,0,6385.3,40.844448,-73.936215
264 Avenue O,Brooklyn,11230,37000,33817.00102,111079.4,0,207.6,0,Not Available,40.611266,-73.97436
140 East 17th Street,New York,10003,30000,17272.1711,117550.7,0,121.3,0,1642.3,40.735678,-73.986938
1125 Banner Avenue,Brooklyn,11235,58000,33148.99746,416824,0,281,0,Not Available,40.58366,-73.958555
2750 East 12th Street,Brooklyn,11235,60000,41112.998,403327.3,0,319.9,0,5608.2,40.584126,-73.957424
115 East 116th Street,New York,10029,47750,33754.88375,154112.7,0,218.1,0,5742,40.798983,-73.942449
1304 Merriam Avenue,Bronx,10452,112785,90332.02206,278152.4,0,549.8,0,18560.9,40.840531,-73.926233
1317 East 14th Street,Brooklyn,11230,44320,29275.0018,210193.9,0,208.4,0,2724.4,40.617142,-73.960807
1231 Sheridan Avenue,Bronx,10456,40050,2618.801383,194392.1,0,394.9,0,10545.3,40.83504,-73.91577
1 United Nations Plaza,New York,10017,373334,4437.814452,9305348.9,0,4158.9,0,22473.8,40.750441,-73.968676
2 United Nations Plaza,New York,10017,406785,Not Available,6388502.2,0,3194.1,0,13610.5,40.750634,-73.970105
3512 Broadway,New York,10031,38910,35962.9056,396529.3,0,290.8,0,5910.5,40.825517,-73.951105
387 Eastern Parkway,Brooklyn,11216,31600,22442.00288,113406.4,0,147.8,0,1174.4,40.670276,-73.955999
30 West End Avenue,New York,10023,160532,89055.01598,2023749.6,0,982.5,0,1896.2,40.772573,-73.989739
20 West End Avenue,New York,10023,58272,18493.79676,1182350.7,0,395.9,0,Not Available,40.772331,-73.989916
30-60 Crescent Street,Queens,11102,84805,56535.89174,340262.6,0,396.2,0,5706.7,40.767107,-73.925809
30-91 Crescent Street,Queens,11102,72763,45641.85971,288368.6,0,315,0,2405,40.766135,-73.92624
33-43 Crescent Street,Queens,11106,84495,25344.67309,297579,0,209.5,0,3635.2,40.7619,-73.929887
808 West End Avenue,New York,10025,107120,60558.34986,344082.9,0,408.3,0,3866.7,40.797234,-73.971323
820 West End Avenue,New York,10025,107869,76869.20897,363712.7,0,499.9,0,4629.7,40.797662,-73.971438
129 Boerum Pl,Brooklyn,11201,39342,6990.00033,267738,0,104.5,0,1404.8,40.687609,-73.991732
225 East 79th Street,New York,10075,59488,726.204931,210930.7,0,260.8,0,1509.6,40.773987,-73.95657
260 West 72nd Street,New York,10023,74176,613.2257915,281628.8,0,401.1,0,2262.1,40.779374,-73.983459
334 East 86th Street,New York,10028,52895,37236.19128,542352.3,0,334.3,0,2152.1,40.777476,-73.950819
56 West 11th Street,New York,10011,27200,553.690277,128334.8,0,175.6,0,1661.7,40.734764,-73.996807
